Date,Open,High,Low,Close,Volume,Change
2023-08-07,30,29,31,29,1,5
2023-08-04,28,29,29,28,1,-5
2023-08-04,28,29,29,28,1,-5
2023-08-04,28,29,29,28,1,-5
2023-08-03,30,29,31,29,2,6
2023-08-02,28,27,29,27,2,5
2023-08-01,27,29,29,26,2,-4
2023-07-31,28,27,28,27,0,9
2023-07-28,25,27,27,26,1,-9
2023-07-28,25,27,27,26,1,-9
2023-07-28,25,27,27,26,1,-9
2023-07-28,25,27,27,26,1,-9
2023-07-27,28,29,29,28,0,-2
2023-07-26,29,32,32,29,0,-10
2023-07-25,32,30,32,30,0,6
2023-07-24,30,28,30,28,0,8
2023-07-21,28,30,30,28,0,0
2023-07-21,28,30,30,28,0,0
2023-07-21,28,30,30,28,0,0
2023-07-20,28,25,27,25,0,3
2023-07-19,26,27,28,25,0,0
2023-07-18,27,26,27,25,1,7
2023-07-17,25,24,25,24,3,-3
2023-07-14,25,27,28,25,1,-2
2023-07-14,25,27,28,25,1,-2
2023-07-14,25,27,28,25,1,-2
2023-07-13,26,26,27,26,0,0
2023-07-12,26,28,28,26,1,-8
2023-07-11,29,29,29,28,0,-3
2023-07-10,30,32,32,29,0,-9
2023-07-07,33,33,33,32,0,3
2023-07-07,33,33,33,32,0,3
2023-07-07,33,33,33,32,0,3
2023-07-06,32,33,33,32,1,-5
2023-07-05,34,33,36,33,0,1
2023-07-03,33,37,37,33,0,-8
2023-06-30,37,35,37,35,0,5
2023-06-30,37,35,37,35,0,5
2023-06-30,37,35,37,35,0,5
2023-06-29,35,32,33,32,0,3
2023-06-28,34,33,34,33,0,-1
2023-06-27,34,32,32,32,0,7
2023-06-26,31,34,34,34,0,-1
2023-06-23,32,32,33,32,0,-4
2023-06-23,32,32,33,32,0,-4
2023-06-23,32,32,33,32,0,-4
2023-06-22,34,36,36,34,0,-7
2023-06-21,36,36,38,36,2,-5
2023-06-20,38,32,39,31,0,10
2023-06-16,35,34,37,32,0,-14
2023-06-16,35,34,37,32,0,-14
2023-06-16,35,34,37,32,0,-14
2023-06-16,35,34,37,32,0,-14
2023-06-15,41,37,43,37,0,7
2023-06-14,38,34,40,34,0,6
2023-06-13,36,33,35,33,0,16
2023-06-12,31,31,32,29,0,-3
2023-06-09,32,27,33,27,0,18
2023-06-09,32,27,33,27,0,18
2023-06-09,32,27,33,27,0,18
2023-06-08,26,26,28,26,0,2
2023-06-07,26,25,26,25,0,5
2023-06-06,24,28,28,24,0,-12
2023-06-05,28,24,28,24,0,20
2023-06-02,23,23,23,23,0,2
2023-06-02,23,23,23,23,0,2
2023-06-02,23,23,23,23,0,2
2023-06-01,23,25,25,23,0,-13
2023-05-31,26,25,27,25,0,8
2023-05-30,24,24,24,24,0,0
2023-05-26,24,25,25,23,0,-3
2023-05-26,24,25,25,23,0,-3
2023-05-26,24,25,25,23,0,-3
2023-05-26,24,25,25,23,0,-3
